season,team,games_played,wins,losses,win_pct,points_per_game,points_allowed_per_game,point_differential,off_epa_per_play,off_success_rate,off_third_down_pct,off_turnovers,off_penalties,def_epa_per_play_allowed,def_success_rate_allowed,def_third_down_pct_allowed,def_takeaways,turnover_margin,off_epa_per_play_league_avg,off_success_rate_league_avg,off_third_down_pct_league_avg,off_turnovers_league_avg,off_penalties_league_avg,def_epa_per_play_allowed_league_avg,def_success_rate_allowed_league_avg,def_third_down_pct_allowed_league_avg,def_takeaways_league_avg,turnover_margin_league_avg,win_pct_league_avg
2019,CHI,16,8,8,0.5,17.5,18.63,-1.13,-0.0902,0.4042,0.3598,18.0,16.0,-0.0463,0.4087,0.3654,19.0,1.0,-0.00926774193548387,0.4285612903225806,0.392558064516129,21.258064516129032,17.06451612903226,-0.011135483870967742,0.4287161290322581,0.39203870967741933,21.322580645161292,0.06451612903225806,0.5
2020,CHI,16,8,8,0.5,23.25,23.13,0.12,-0.0275,0.4362,0.3498,21.0,12.0,0.0059,0.4182,0.3828,16.0,-5.0,0.031853125,0.45276875,0.422121875,19.90625,14.34375,0.029959375,0.452259375,0.42081875,19.90625,0.0,0.498046875
2021,CHI,17,6,11,0.3529,18.29,23.94,-5.65,-0.1002,0.4124,0.3521,27.0,17.0,0.0263,0.442,0.3894,15.0,-12.0,0.004021875000000001,0.4421125,0.406996875,21.15625,15.84375,0.0044875,0.442240625,0.406721875,21.15625,0.0,0.498165625
2022,CHI,17,3,14,0.1765,19.18,27.24,-8.06,-0.0459,0.4051,0.4147,23.0,15.0,0.1181,0.4839,0.5,21.0,-2.0,-0.008396875,0.4367375,0.398409375,20.9375,14.40625,-0.0082625,0.43684375,0.397671875,20.9375,0.0,0.497359375
2023,CHI,17,7,10,0.4118,21.18,22.29,-1.11,-0.0488,0.4178,0.4135,24.0,14.0,-0.0415,0.414,0.4414,27.0,3.0,-0.03175,0.42548437499999997,0.392740625,21.84375,15.125,-0.032678125,0.425196875,0.3913,21.84375,0.0,0.500003125
